Time,Motion,Target,Details,Cam_Position,Cam_FocalPoint,Cam_Distance,Sister1,inside/outside_1,Number_of_neighbors,Sister2,inside/outside_2,Sister2_in_Neighborhood
10.911207,Rotate,MainView,-,"(-32.28362633275261, -17.636991141429498, -11.188286462478388)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479807,-,-,-,-,-,-
10.930610,Rotate,MainView,-,"(-34.65784507676201, -17.636991141429498, -4.364089329072639)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479807,-,-,-,-,-,-
10.935432,Rotate,MainView,-,"(-35.30145892850912, -17.636991141429487, -2.199388641438918)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479807,-,-,-,-,-,-
10.950286,Rotate,MainView,-,"(-37.31279518144653, -17.636991141429476, 6.140976993436529)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479805,-,-,-,-,-,-
10.966967,Rotate,MainView,-,"(-38.813334989305524, -17.636991141429466, 16.416270874647246)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479803,-,-,-,-,-,-
10.983637,Rotate,MainView,-,"(-39.27338176720989, -17.636991141429455, 27.24186718435787)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479803,-,-,-,-,-,-
10.999814,Rotate,MainView,-,"(-38.69871499341595, -17.636991141429455, 37.15837482039053)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479803,-,-,-,-,-,-
11.016932,Rotate,MainView,-,"(-37.523034376726024, -17.636991141429455, 45.20104854782228)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
11.033182,Rotate,MainView,-,"(-36.28317561004417, -17.636991141429455, 50.9396902737725)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
11.049872,Rotate,MainView,-,"(-35.10916351444812, -17.636991141429455, 55.30087584933895)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479803,-,-,-,-,-,-
11.066906,Rotate,MainView,-,"(-34.71997134844988, -17.636991141429455, 56.59881132360597)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
11.083127,Rotate,MainView,-,"(-34.451085608670596, -17.636991141429444, 57.46122335081415)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479803,-,-,-,-,-,-
11.099916,Rotate,MainView,-,"(-33.890788285672734, -17.636991141429444, 59.178844073525156)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479804,-,-,-,-,-,-
11.116586,Rotate,MainView,-,"(-32.99435197929462, -17.636991141429444, 61.73628722848661)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479803,-,-,-,-,-,-
11.133180,Rotate,MainView,-,"(-32.19638958200733, -17.636991141429434, 63.84896890581477)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
11.150427,Rotate,MainView,-,"(-31.178284287420247, -17.636991141429434, 66.3604575383564)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
11.166634,Rotate,MainView,-,"(-30.094784763980023, -17.636991141429434, 68.8444346568011)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
11.183257,Rotate,MainView,-,"(-27.941020642034296, -17.636991141429434, 73.32130331951282)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479803,-,-,-,-,-,-
11.199900,Rotate,MainView,-,"(-25.349503979851864, -17.636991141429434, 78.0810787627521)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
11.216847,Rotate,MainView,-,"(-24.43072677449341, -17.636991141429434, 79.6367144798011)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
11.233546,Rotate,MainView,-,"(-20.747138593219844, -17.636991141429434, 85.3216177823088)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479803,-,-,-,-,-,-
11.249840,Rotate,MainView,-,"(-16.699626791644977, -17.636991141429434, 90.75343107661426)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479804,-,-,-,-,-,-
11.266483,Rotate,MainView,-,"(-11.694450334083726, -17.636991141429434, 96.57420924859915)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479804,-,-,-,-,-,-
11.283155,Rotate,MainView,-,"(-8.873743535586685, -17.636991141429434, 99.5010999029974)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479803,-,-,-,-,-,-
11.300103,Rotate,MainView,-,"(-3.2418102789600134, -17.636991141429434, 104.71785921234678)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479803,-,-,-,-,-,-
11.317010,Rotate,MainView,-,"(0.9590257492168512, -17.636991141429434, 108.14194997411172)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479803,-,-,-,-,-,-
11.333863,Rotate,MainView,-,"(2.761242359807558, -17.636991141429423, 109.50289932868506)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
11.349953,Rotate,MainView,-,"(3.1252245868712993, -17.636991141429423, 109.7703529150316)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
11.366534,Rotate,MainView,-,"(3.4903703318031183, -17.636991141429423, 110.03621578838192)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
12.500304,Scroll,ExplosionBar,0,"(3.4903703318031183, -17.636991141429423, 110.03621578838192)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
12.578587,Scroll,ExplosionBar,1,"(3.4903703318031183, -17.636991141429423, 110.03621578838192)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
12.663506,Scroll,ExplosionBar,4,"(3.4903703318031183, -17.636991141429423, 110.03621578838192)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
12.746713,Scroll,ExplosionBar,1,"(3.4903703318031183, -17.636991141429423, 110.03621578838192)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
12.833769,Scroll,ExplosionBar,1,"(3.4903703318031183, -17.636991141429423, 110.03621578838192)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
12.850557,Scroll,ExplosionBar,3,"(3.4903703318031183, -17.636991141429423, 110.03621578838192)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
12.936010,Scroll,ExplosionBar,1,"(3.4903703318031183, -17.636991141429423, 110.03621578838192)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
13.081000,Scroll,ExplosionBar,4,"(3.4903703318031183, -17.636991141429423, 110.03621578838192)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
13.161178,Scroll,ExplosionBar,1,"(3.4903703318031183, -17.636991141429423, 110.03621578838192)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
13.248523,Scroll,ExplosionBar,1,"(3.4903703318031183, -17.636991141429423, 110.03621578838192)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
13.329281,Scroll,ExplosionBar,1,"(3.4903703318031183, -17.636991141429423, 110.03621578838192)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
13.409860,Scroll,ExplosionBar,1,"(3.4903703318031183, -17.636991141429423, 110.03621578838192)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
14.956865,Rotate,MainView,-,"(3.1252245868712927, -17.636991141429423, 109.7703529150316)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479801,-,-,-,-,-,-
14.975896,Rotate,MainView,-,"(0.6021693684762215, -17.636991141429412, 107.86506009348656)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.255876094798,-,-,-,-,-,-
14.983140,Rotate,MainView,-,"(-1.1638041665891024, -17.6369911414294, 106.45740057121154)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.25587609479798,-,-,-,-,-,-
14.999726,Rotate,MainView,-,"(-6.601691573346308, -17.6369911414294, 101.69967404361245)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",116.255876094798,-,-,-,-,-,-
