Time,Motion,Target,Details,Cam_Position,Cam_FocalPoint,Cam_Distance,Sister1,inside/outside_1,Number_of_neighbors,Sister2,inside/outside_2,Sister2_in_Neighborhood
1.164773,ZoomOut,MainView,-,"(-183.88904893015427, 112.40442223985694, -242.25195218641593)","(57.017841180165604, 36.65313633282979, 20.026165798927344)",364.0936667852485,-,-,-,-,-,-
1.225815,ZoomOut,MainView,-,"(-234.47949585332145, 128.31219228033265, -297.33035696333803)","(57.017841180165604, 36.65313633282979, 20.026165798927344)",440.5533368101507,-,-,-,-,-,-
11.777690,Click,MainView,116,"(-234.47949585332145, 128.31219228033265, -297.33035696333803)","(57.017841180165604, 36.65313633282979, 20.026165798927344)",440.5533368101507,-,-,-,-,-,-
11.936401,DoubleClick,MainView,116,"(-234.47949585332145, 128.31219228033265, -297.33035696333803)","(197.26567422460005, 101.61083378110837, 55.919777905766715)",558.4823293680455,116,outside,7,-,-,-
13.729377,Scroll,ExplosionBar,-1,"(-234.47949585332145, 128.31219228033265, -297.33035696333803)","(197.26567422460005, 101.61083378110837, 55.919777905766715)",558.4823293680455,116,outside,7,-,-,-
13.803770,Scroll,ExplosionBar,-18,"(-234.47949585332145, 128.31219228033265, -297.33035696333803)","(197.26567422460005, 101.61083378110837, 55.919777905766715)",558.4823293680455,116,outside,7,-,-,-
13.945878,Scroll,ExplosionBar,-3,"(-234.47949585332145, 128.31219228033265, -297.33035696333803)","(197.26567422460005, 101.61083378110837, 55.919777905766715)",558.4823293680455,116,outside,7,-,-,-
13.959143,Scroll,ExplosionBar,23,"(-234.47949585332145, 128.31219228033265, -297.33035696333803)","(197.26567422460005, 101.61083378110837, 55.919777905766715)",558.4823293680455,116,outside,7,-,-,-
14.034623,Scroll,ExplosionBar,11,"(-234.47949585332145, 128.31219228033265, -297.33035696333803)","(197.26567422460005, 101.61083378110837, 55.919777905766715)",558.4823293680455,116,outside,7,-,-,-
14.118252,Scroll,ExplosionBar,2,"(-234.47949585332145, 128.31219228033265, -297.33035696333803)","(197.26567422460005, 101.61083378110837, 55.919777905766715)",558.4823293680455,116,outside,7,-,-,-
14.197064,Scroll,ExplosionBar,-1,"(-234.47949585332145, 128.31219228033265, -297.33035696333803)","(197.26567422460005, 101.61083378110837, 55.919777905766715)",558.4823293680455,116,outside,7,-,-,-
14.208036,Scroll,ExplosionBar,1,"(-234.47949585332145, 128.31219228033265, -297.33035696333803)","(197.26567422460005, 101.61083378110837, 55.919777905766715)",558.4823293680455,116,outside,7,-,-,-
17.101336,ZoomOut,MainView,-,"(-325.145981569685, 133.91947756516976, -371.5128852858501)","(197.26567422460005, 101.61083378110837, 55.919777905766715)",675.7636185353351,116,outside,7,-,-,-
17.205053,Rotate,MainView,-,"(-434.85242928648483, 140.70429275982266, -461.27374455608964)","(197.26567422460005, 101.61083378110837, 55.919777905766715)",817.6739784277555,116,outside,7,-,-,-
