Time,Motion,Target,Details,Cam_Position,Cam_FocalPoint,Cam_Distance,Sister1,inside/outside_1,Number_of_neighbors,Sister2,inside/outside_2,Sister2_in_Neighborhood
2.615964,Click,TissueList,18,"(-31.97009937178465, -21.02792377542498, -10.686740838967161)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",117.42259200939388,-,-,-,-,-,-
2.821966,DoubleClick,TissueList,18,"(-31.97009937178465, -21.02792377542498, -10.686740838967161)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",117.42259200939388,-,-,-,-,-,-
3.741804,Rotate,MainView,-,"(-33.89264161865357, -21.02792377542497, 57.656127116121326)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",117.42259200939387,-,-,-,-,-,-
3.843151,Rotate,MainView,-,"(-5.026521643669646, -21.02792377542497, 102.51005275884528)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",117.42259200939388,-,-,-,-,-,-
3.948643,Rotate,MainView,-,"(7.606431535580687, -46.51768280090354, 88.59559849498231)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",117.42259200939388,-,-,-,-,-,-
4.043053,Rotate,MainView,-,"(13.928491215201731, -55.203656509733534, 81.6322219180797)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",117.4225920093939,-,-,-,-,-,-
4.144318,Rotate,MainView,-,"(19.989277641968425, -61.96074708097028, 74.95662244884369)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",117.42259200939391,-,-,-,-,-,-
4.351734,Rotate,MainView,-,"(18.293508766650362, -60.204221799750194, 76.82441204031082)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",117.42259200939391,-,-,-,-,-,-
5.191752,Click,NeighborList,8,"(18.293508766650362, -60.204221799750194, 76.82441204031082)","(64.23898307761955, 35.273982282858995, 26.21817675547384)",117.42259200939391,-,-,-,8,outside,0
6.965364,Scroll,ExplosionBar,0,"(18.293508766650362, -60.204221799750194, 76.82441204031082)","(72.1575698852539, 49.46928405761719, 10.437942028045654)",139.05674513637962,-,-,-,8,outside,0
7.057567,Scroll,ExplosionBar,4,"(18.293508766650362, -60.204221799750194, 76.82441204031082)","(72.1575698852539, 49.46928405761719, 10.437942028045654)",139.05674513637962,-,-,-,8,outside,0
7.161968,Scroll,ExplosionBar,2,"(18.293508766650362, -60.204221799750194, 76.82441204031082)","(72.1575698852539, 49.46928405761719, 10.437942028045654)",139.05674513637962,-,-,-,8,outside,0
